,SalePrice,Neighborhood,Year Built
171,"109,500",,
172,"115,000",,
173,"143,000",,
174,"107,400",,
175,"80,000",,
176,"119,000",,
177,"130,000",,
178,"119,000",,
179,"129,000",,
180,"100,000",,
181,"12,789",,
182,"105,900",,
183,"150,000",,
184,"139,000",,
185,"240,000",,
186,"76,500",,
187,"149,700",,
188,"125,500",,
189,"122,500",,
190,"140,750",,
191,"128,500",,
192,"209,500",,
193,"87,000",,
194,"134,000",,
195,"128,000",,
196,"132,000",,
197,"139,900",,
198,"123,900",,
199,"138,400",,
200,"109,500",,
201,"140,000",,
202,"149,500",,
203,"159,900",,
204,"122,000",,
205,"110,000",,
206,"55,000",,
207,"140,000",,
208,"244,400",,
209,"173,000",,
210,"107,500",,
211,"100,000",,
212,"95,000",,
213,"93,369",,
214,"114,900",,
215,"94,000",,
216,"136,000",,
217,"136,500",,
218,"131,500",,
219,"121,500",,
220,"125,000",,
221,"154,000",,
222,"137,900",,
223,"158,000",,
224,"137,250",,
225,"160,250",,
226,"163,000",,
227,"158,900",,
228,"328,000",,
229,"270,000",,
230,"85,000",,
231,"128,000",,
232,"260,000",,
233,"230,000",,
234,"124,000",,
235,"83,000",,
236,"144,500",,
237,"129,000",,
238,"127,000",,
239,"128,000",,
240,"186,000",,
241,"308,030",,
242,"114,000",,
243,"84,900",,
244,"178,000",,
245,"270,000",,
246,"218,000",,
247,"236,000",,
248,"147,000",,
249,"245,350",,
250,"206,000",,
251,"198,900",,
252,"187,000",,
253,"320,000",,
254,"138,500",,
255,"155,000",,
256,"159,000",,
257,"191,000",,
258,"200,500",,
259,"150,000",,
260,"161,750",,
261,"128,200",,
262,"127,000",,
263,"318,000",,
264,"272,000",,
265,"237,000",,
266,"240,000",,
267,"224,900",,
268,"143,750",,
269,"143,000",,
270,"232,000",,
271,"213,000",,
272,"185,500",,
273,"84,900",,
274,"155,891",,
275,"100,000",,
276,"144,000",,
277,"64,000",,
278,"125,200",,
279,"107,000",,
280,"90,000",,
281,"140,000",,
282,"113,000",,
283,"80,000",,
284,"144,500",,
285,"104,000",,
286,"128,000",,
287,"58,500",,
288,"127,000",,
289,"126,000",,
290,"160,000",,
291,"100,000",,
292,"169,000",,
293,"257,500",,
294,"215,000",,
295,"266,500",,
296,"335,000",,
297,"203,135",,
298,"185,000",,
299,"162,500",,
300,"289,000",,
301,"125,500",,
302,"82,000",,
303,"110,000",,
304,"68,400",,
305,"102,776",,
306,"55,993",,
307,"50,138",,
308,"246,000",,
309,"254,900",,
310,"190,000",,
311,"201,000",,
312,"169,900",,
313,"170,000",,
314,"160,000",,
315,"220,000",,
316,"179,781",,
317,"174,000",,
318,"269,500",,
319,"214,900",,
320,"202,900",,
321,"378,500",,
322,"169,000",,
323,"173,500",,
324,"139,000",,
325,"166,500",,
326,"83,500",,
327,"119,500",,
328,"85,000",,
329,"76,000",,
330,"75,500",,
331,"88,250",,
332,"85,500",,
333,"130,000",,
334,"157,900",,
335,"149,900",,
336,"159,000",,
337,"136,000",,
338,"161,000",,
339,"285,000",,
340,"231,000",,
341,"124,500",,
342,"157,000",,
343,"345,000",,
344,"189,500",,
345,"270,000",,
346,"189,000",,
347,"377,500",,
348,"168,500",,
349,"375,000",,
350,"278,000",,
351,"240,000",,
352,"239,500",,
353,"177,500",,
354,"185,000",,
355,"191,000",,
356,"178,000",,
357,"185,000",,
358,"181,316",,
359,"166,000",,
360,"178,000",,
361,"174,000",,
362,"173,000",,
363,"225,000",,
364,"180,500",,
365,"187,500",,
366,"501,837",,
367,"372,500",,
368,"260,000",,
369,"185,000",,
370,"260,000",,
371,"181,000",,
372,"82,500",,
373,"215,000",,
374,"154,000",,
375,"200,000",,
376,"249,000",,
377,"187,500",,
378,"184,000",,
379,"278,000",,
380,"157,000",,
381,"152,000",,
382,"197,500",,
383,"240,900",,
384,"263,435",,
385,"220,000",,
386,"235,000",,
387,"213,000",,
388,"167,900",,
389,"158,000",,
390,"165,000",,
391,"158,000",,
392,"136,000",,
393,"148,500",,
394,"156,000",,
395,"128,000",,
396,"143,000",,
397,"76,500",,
398,"120,500",,
399,"124,500",,
400,"97,000",,
401,"130,000",,
402,"111,000",,
403,"125,000",,
404,"112,000",,
405,"97,000",,
406,"118,000",,
407,"119,500",,
408,"143,750",,
409,"146,000",,
410,"148,500",,
411,"123,000",,
412,"147,000",,
413,"137,900",,
414,"147,000",,
415,"148,500",,
416,"138,000",,
417,"128,500",,
418,"100,000",,
419,"148,800",,
420,"337,500",,
421,"462,000",,
422,"485,000",,
423,"555,000",,
424,"325,000",,
425,"256,300",,
426,"253,293",,
427,"398,800",,
428,"335,000",,
429,"404,000",,
430,"402,861",,
431,"451,950",,
432,"610,000",,
433,"582,933",,
434,"360,000",,
435,"296,000",,
436,"409,900",,
437,"255,500",,
438,"335,000",,
439,"274,900",,
440,"300,000",,
441,"324,000",,
442,"350,000",,
443,"280,000",,
444,"284,000",,
445,"269,500",,
446,"233,170",,
447,"386,250",,
448,"445,000",,
449,"290,000",,
450,"255,900",,
451,"213,000",,
452,"196,000",,
453,"184,500",,
454,"212,500",,
455,"230,000",,
456,"552,000",,
457,"382,500",,
458,"320,000",,
459,"248,500",,
460,"286,500",,
461,"254,000",,
462,"173,000",,
463,"173,000",,
464,"184,000",,
465,"167,800",,
466,"174,000",,
467,"174,000",,
468,"174,000",,
469,"175,900",,
470,"192,500",,
471,"181,000",,
472,"180,000",,
473,"160,200",,
474,"188,500",,
475,"200,000",,
476,"170,000",,
477,"189,500",,
478,"184,100",,
479,"195,500",,
480,"192,000",,
481,"178,000",,
482,"207,500",,
483,"236,000",,
484,"257,500",,
485,"244,000",,
486,"167,000",,
487,"179,000",,
488,"190,000",,
489,"156,000",,
490,"245,000",,
491,"181,000",,
492,"214,000",,
493,"168,000",,
494,"337,000",,
495,"403,000",,
496,"327,000",,
497,"340,000",,
498,"336,000",,
499,"265,000",,
500,"315,000",,
501,"260,000",,
502,"260,000",,
503,"263,550",,
504,"402,000",,
505,"248,000",,
506,"244,600",,
507,"275,000",,
508,"257,500",,
509,"287,090",,
510,"275,500",,
511,"245,000",,
512,"253,000",,
513,"468,000",,
514,"252,678",,
515,"210,000",,
516,"208,300",,
517,"225,000",,
518,"229,456",,
519,"229,800",,
520,"250,000",,
521,"370,878",,
522,"238,500",,
523,"310,000",,
524,"270,000",,
525,"252,000",,
526,"241,000",,
527,"264,500",,
528,"291,000",,
529,"263,000",,
530,"185,000",,
531,"234,500",,
532,"209,000",,
533,"159,000",,
534,"152,000",,
535,"143,500",,
536,"193,000",,
537,"203,000",,
538,"184,900",,
539,"159,000",,
540,"142,000",,
541,"153,000",,
542,"224,243",,
543,"220,000",,
544,"257,000",,
545,"189,000",,
546,"171,500",,
547,"120,000",,
548,"145,000",,
549,"184,000",,
550,"162,000",,
551,"160,000",,
552,"82,000",,
553,"76,000",,
554,"110,000",,
555,"135,000",,
556,"141,000",,
557,"122,000",,
558,"124,100",,
559,"129,000",,
560,"131,400",,
561,"62,383",,
562,"123,000",,
563,"275,000",,
564,"235,000",,
565,"280,750",,
566,"164,500",,
567,"173,733",,
568,"222,000",,
569,"195,000",,
570,"172,500",,
571,"180,000",,
572,"156,000",,
573,"172,500",,
574,"318,750",,
575,"211,500",,
576,"241,600",,
577,"180,500",,
578,"150,000",,
579,"154,000",,
580,"185,000",,
581,"185,750",,
582,"200,000",,
583,"206,000",,
584,"162,000",,
585,"256,900",,
586,"197,900",,
587,"163,000",,
588,"113,000",,
589,"230,000",,
590,"167,900",,
591,"213,250",,
592,"227,000",,
593,"130,000",,
594,"143,000",,
595,"117,500",,
596,"168,500",,
597,"172,500",,
598,"161,500",,
599,"141,500",,
600,"118,000",,
601,"127,500",,
602,"140,000",,
603,"177,625",,
604,"110,000",,
605,"167,000",,
606,"153,000",,
607,"145,100",,
608,"154,000",,
609,"177,500",,
610,"158,000",,
611,"124,500",,
612,"174,500",,
613,"122,000",,
614,"82,500",,
615,"110,000",,
616,"149,500",,
617,"175,000",,
618,"167,000",,
619,"128,900",,
620,"140,000",,
621,"147,000",,
622,"124,000",,
623,"187,500",,
624,"159,000",,
625,"256,000",,
626,"205,000",,
627,"193,500",,
628,"110,000",,
629,"104,900",,
630,"150,000",,
631,"156,500",,
632,"176,000",,
633,"149,500",,
634,"139,000",,
635,"155,000",,
636,"120,000",,
637,"153,000",,
638,"144,000",,
639,"176,000",,
640,"153,000",,
641,"135,000",,
642,"131,000",,
643,"123,000",,
644,"126,000",,
645,"115,000",,
646,"164,900",,
647,"113,000",,
648,"145,500",,
649,"102,900",,
650,"95,000",,
651,"152,500",,
652,"129,900",,
653,"132,000",,
654,"99,900",,
655,"135,000",,
656,"149,000",,
657,"114,000",,
658,"109,500",,
659,"125,000",,
660,"142,900",,
661,"156,500",,
662,"59,000",,
663,"105,000",,
664,"106,000",,
665,"78,500",,
666,"190,000",,
667,"154,000",,
668,"163,000",,
669,"200,000",,
670,"143,500",,
671,"135,000",,
672,"153,000",,
673,"157,500",,
674,"113,500",,
675,"133,000",,
676,"92,900",,
677,"128,500",,
678,"90,000",,
679,"138,000",,
680,"128,000",,
681,"139,000",,
682,"118,900",,
683,"138,000",,
684,"132,500",,
685,"133,500",,
686,"135,000",,
687,"144,750",,
688,"145,000",,
689,"127,000",,
690,"109,500",,
691,"115,000",,
692,"110,000",,
693,"128,900",,
694,"103,500",,
695,"66,500",,
696,"130,000",,
697,"129,000",,
698,"150,000",,
699,"107,500",,
700,"94,550",,
701,"124,500",,
702,"135,000",,
703,"103,000",,
704,"93,000",,
705,"129,500",,
706,"93,000",,
707,"80,000",,
708,"45,000",,
709,"37,900",,
710,"91,300",,
711,"99,500",,
712,"113,000",,
713,"87,500",,
714,"110,000",,
715,"106,000",,
716,"265,979",,
717,"160,000",,
718,"119,000",,
719,"168,000",,
720,"58,500",,
721,"143,000",,
722,"85,000",,
723,"124,900",,
724,"119,000",,
725,"146,500",,
726,"34,900",,
727,"44,000",,
728,"223,500",,
729,"149,000",,
730,"205,000",,
731,"137,000",,
732,"121,000",,
733,"128,000",,
734,"134,900",,
735,"117,000",,
736,"132,500",,
737,"93,000",,
738,"119,000",,
739,"100,000",,
740,"141,500",,
741,"133,000",,
742,"60,000",,
743,"105,000",,
744,"115,000",,
745,"150,000",,
746,"126,500",,
747,"214,500",,
748,"167,500",,
749,"155,000",,
750,"155,000",,
751,"179,900",,
752,"104,000",,
753,"62,500",,
754,"149,000",,
755,"103,000",,
756,"123,000",,
757,"97,500",,
758,"135,000",,
759,"70,000",,
760,"116,000",,
761,"88,750",,
762,"179,000",,
763,"179,000",,
764,"159,900",,
765,"61,000",,
766,"103,600",,
767,"63,000",,
768,"175,000",,
769,"139,000",,
770,"172,500",,
771,"113,500",,
772,"130,000",,
773,"149,900",,
774,"134,900",,
775,"137,000",,
776,"139,000",,
777,"165,000",,
778,"148,000",,
779,"165,000",,
780,"63,900",,
781,"161,500",,
782,"143,000",,
783,"135,000",,
784,"82,500",,
785,"190,000",,
786,"139,600",,
787,"122,000",,
788,"127,500",,
789,"121,500",,
790,"60,000",,
791,"154,400",,
792,"113,000",,
793,"125,000",,
794,"84,000",,
795,"139,500",,
796,"131,000",,
797,"105,000",,
798,"108,000",,
799,"162,000",,
800,"156,500",,
801,"316,600",,
802,"271,900",,
803,"213,000",,
804,"239,900",,
805,"239,500",,
806,"131,000",,
807,"118,964",,
808,"153,337",,
809,"147,983",,
810,"118,858",,
811,"118,858",,
812,"142,953",,
813,"148,325",,
814,"113,722",,
815,"269,500",,
816,"269,500",,
817,"269,500",,
818,"323,262",,
819,"297,000",,
820,"295,493",,
821,"332,000",,
822,"239,900",,
823,"212,000",,
824,"272,500",,
825,"239,000",,
826,"220,000",,
827,"200,000",,
828,"221,800",,
829,"194,500",,
830,"237,000",,
831,"173,000",,
832,"275,000",,
833,"233,500",,
834,"185,000",,
835,"152,000",,
836,"143,000",,
837,"231,500",,
838,"212,000",,
839,"207,000",,
840,"145,000",,
841,"138,000",,
842,"197,900",,
843,"204,000",,
844,"192,000",,
845,"200,000",,
846,"195,000",,
847,"227,000",,
848,"230,000",,
849,"187,100",,
850,"203,000",,
851,"201,000",,
852,"124,000",,
853,"140,000",,
854,"134,900",,
855,"150,500",,
856,"136,500",,
857,"143,500",,
858,"133,500",,
859,"123,000",,
860,"133,900",,
861,"133,000",,
862,"250,000",,
863,"254,750",,
864,"236,500",,
865,"261,500",,
866,"313,000",,
867,"198,500",,
868,"211,000",,
869,"220,000",,
870,"203,000",,
871,"279,500",,
872,"210,000",,
873,"219,500",,
874,"191,000",,
875,"178,000",,
876,"213,000",,
877,"144,000",,
878,"140,000",,
879,"293,200",,
880,"190,000",,
881,"190,000",,
882,"173,500",,
883,"170,000",,
884,"108,000",,
885,"167,000",,
886,"100,000",,
887,"198,500",,
888,"159,500",,
889,"127,000",,
890,"125,000",,
891,"320,000",,
892,"145,500",,
893,"118,000",,
894,"85,000",,
895,"120,000",,
896,"98,000",,
897,"99,900",,
898,"82,000",,
899,"119,900",,
900,"103,500",,
901,"112,000",,
902,"110,000",,
903,"122,000",,
904,"117,000",,
905,"160,000",,
906,"159,434",,
907,"60,000",,
908,"139,500",,
909,"197,000",,
910,"105,000",,
911,"135,000",,
912,"147,500",,
913,"137,450",,
914,"155,000",,
915,"177,000",,
916,"145,000",,
917,"137,000",,
918,"234,000",,
919,"205,000",,
920,"177,500",,
921,"160,000",,
922,"155,000",,
923,"163,500",,
924,"154,900",,
925,"205,000",,
926,"144,800",,
927,"174,500",,
928,"193,000",,
929,"158,000",,
930,"158,500",,
931,"224,000",,
932,"115,000",,
933,"137,000",,
934,"121,000",,
935,"124,000",,
936,"208,000",,
937,"315,000",,
938,"222,000",,
939,"147,000",,
940,"123,000",,
941,"78,000",,
942,"85,000",,
943,"75,000",,
944,"230,000",,
945,"57,625",,
946,"251,000",,
947,"239,686",,
948,"240,000",,
949,"215,000",,
950,"156,450",,
951,"173,000",,
952,"126,000",,
953,"173,000",,
954,"152,000",,
955,"137,500",,
956,"375,000",,
957,"315,500",,
958,"224,500",,
959,"410,000",,
960,"316,500",,
961,"201,000",,
962,"175,000",,
963,"204,000",,
964,"213,500",,
965,"220,000",,
966,"170,000",,
967,"315,000",,
968,"425,000",,
969,"139,500",,
970,"115,000",,
971,"162,000",,
972,"165,000",,
973,"91,000",,
974,"130,000",,
975,"86,000",,
976,"160,000",,
977,"80,000",,
978,"97,000",,
979,"88,000",,
980,"131,900",,
981,"131,250",,
982,"165,500",,
983,"112,000",,
984,"149,000",,
985,"143,000",,
986,"130,000",,
987,"196,000",,
988,"173,000",,
989,"176,500",,
990,"237,500",,
991,"206,900",,
992,"187,500",,
993,"165,000",,
994,"195,500",,
995,"192,000",,
996,"173,000",,
997,"177,900",,
998,"175,000",,
999,"286,000",,
1000,"247,900",,
1001,"180,000",,
1002,"180,000",,
1003,"181,000",,
1004,"183,000",,
1005,"188,000",,
1006,"194,500",,
1007,"185,000",,
1008,"189,000",,
1009,"188,500",,
1010,"355,000",,
1011,"325,000",,
1012,"387,000",,
1013,"115,000",,
1014,"334,000",,
1015,"133,000",,
1016,"215,000",,
1017,"226,500",,
1018,"175,500",,
1019,"181,900",,
1020,"235,000",,
1021,"220,000",,
1022,"272,000",,
1023,"161,000",,
1024,"175,000",,
1025,"185,000",,
1026,"146,900",,
1027,"292,500",,
1028,"180,000",,
1029,"159,900",,
1030,"205,000",,
1031,"157,000",,
1032,"306,000",,
1033,"133,000",,
1034,"151,000",,
1035,"111,900",,
1036,"123,000",,
1037,"111,250",,
1038,"181,000",,
1039,"103,400",,
1040,"100,000",,
1041,"100,500",,
1042,"106,000",,
1043,"85,400",,
1044,"89,500",,
1045,"111,750",,
1046,"140,000",,
1047,"143,000",,
1048,"148,500",,
1049,"110,000",,
1050,"394,617",,
1051,"426,000",,
1052,"385,000",,
1053,"446,261",,
1054,"317,500",,
1055,"372,402",,
1056,"417,500",,
1057,"383,000",,
1058,"390,000",,
1059,"460,000",,
1060,"379,000",,
1061,"250,000",,
1062,"316,000",,
1063,"615,000",,
1064,"412,500",,
1065,"284,000",,
1066,"284,000",,
1067,"421,250",,
1068,"370,000",,
1069,"336,860",,
1070,"367,294",,
1071,"192,000",,
1072,"274,000",,
1073,"266,000",,
1074,"370,967",,
1075,"234,250",,
1076,"219,500",,
1077,"155,000",,
1078,"154,000",,
1079,"207,000",,
1080,"195,000",,
1081,"219,990",,
1082,"191,000",,
1083,"159,895",,
1084,"187,687",,
1085,"179,000",,
1086,"193,000",,
1087,"190,000",,
1088,"176,000",,
1089,"188,000",,
1090,"213,000",,
1091,"217,300",,
1092,"186,500",,
1093,"226,750",,
1094,"184,000",,
1095,"176,000",,
1096,"225,000",,
1097,"185,900",,
1098,"284,500",,
1099,"315,000",,
1100,"250,000",,
1101,"291,000",,
1102,"350,000",,
1103,"279,500",,
1104,"290,000",,
1105,"350,000",,
1106,"341,000",,
1107,"287,500",,
1108,"271,000",,
1109,"301,500",,
1110,"235,128",,
1111,"214,000",,
1112,"232,000",,
1113,"240,000",,
1114,"264,132",,
1115,"245,000",,
1116,"227,680",,
1117,"257,000",,
1118,"297,900",,
1119,"247,000",,
1120,"212,700",,
1121,"250,580",,
1122,"182,000",,
1123,"226,700",,
1124,"250,000",,
1125,"250,000",,
1126,"339,750",,
1127,"205,950",,
1128,"256,000",,
1129,"230,348",,
1130,"207,500",,
1131,"141,000",,
1132,"188,000",,
1133,"192,500",,
1134,"146,000",,
1135,"159,000",,
1136,"155,000",,
1137,"173,000",,
1138,"170,000",,
1139,"182,000",,
1140,"163,000",,
1141,"193,500",,
1142,"189,000",,
1143,"190,500",,
1144,"175,000",,
1145,"179,200",,
1146,"187,000",,
1147,"193,000",,
1148,"153,900",,
1149,"128,000",,
1150,"144,000",,
1151,"135,000",,
1152,"115,000",,
1153,"119,916",,
1154,"142,000",,
1155,"192,000",,
1156,"140,000",,
1157,"290,000",,
1158,"372,500",,
1159,"196,000",,
1160,"171,900",,
1161,"178,000",,
1162,"165,000",,
1163,"146,000",,
1164,"146,000",,
1165,"179,400",,
1166,"172,900",,
1167,"300,000",,
1168,"285,000",,
1169,"290,000",,
1170,"305,000",,
1171,"328,900",,
1172,"160,000",,
1173,"170,000",,
1174,"223,000",,
1175,"170,000",,
1176,"200,000",,
1177,"345,000",,
1178,"245,500",,
1179,"217,500",,
1180,"324,000",,
1181,"162,500",,
1182,"150,000",,
1183,"290,000",,
1184,"205,000",,
1185,"174,000",,
1186,"183,000",,
1187,"150,000",,
1188,"145,000",,
1189,"215,000",,
1190,"140,500",,
1191,"240,000",,
1192,"141,000",,
1193,"147,000",,
1194,"135,000",,
1195,"145,000",,
1196,"142,600",,
1197,"135,000",,
1198,"170,000",,
1199,"299,800",,
1200,"185,000",,
1201,"173,000",,
1202,"178,400",,
1203,"176,000",,
1204,"98,000",,
1205,"109,008",,
1206,"135,750",,
1207,"155,000",,
1208,"180,500",,
1209,"174,900",,
1210,"140,000",,
1211,"145,000",,
1212,"179,900",,
1213,"168,500",,
1214,"140,000",,
1215,"145,500",,
1216,"142,000",,
1217,"141,000",,
1218,"153,000",,
1219,"72,500",,
1220,"52,000",,
1221,"118,000",,
1222,"87,000",,
1223,"141,500",,
1224,"119,000",,
1225,"141,500",,
1226,"165,500",,
1227,"112,900",,
1228,"201,800",,
1229,"163,000",,
1230,"139,950",,
1231,"174,000",,
1232,"165,000",,
1233,"227,000",,
1234,"135,000",,
1235,"124,000",,
1236,"140,000",,
1237,"136,500",,
1238,"185,000",,
1239,"163,000",,
1240,"166,800",,
1241,"139,000",,
1242,"166,000",,
1243,"136,000",,
1244,"133,000",,
1245,"116,000",,
1246,"137,500",,
1247,"130,000",,
1248,"180,000",,
1249,"139,000",,
1250,"110,000",,
1251,"100,000",,
1252,"118,500",,
1253,"146,000",,
1254,"89,900",,
1255,"114,000",,
1256,"140,000",,
1257,"86,900",,
1258,"139,000",,
1259,"106,250",,
1260,"171,000",,
1261,"139,000",,
1262,"186,000",,
1263,"157,000",,
1264,"148,000",,
1265,"242,000",,
1266,"116,000",,
1267,"94,000",,
1268,"98,300",,
1269,"127,000",,
1270,"159,000",,
1271,"125,900",,
1272,"155,000",,
1273,"138,000",,
1274,"112,500",,
1275,"105,500",,
1276,"127,500",,
1277,"130,000",,
1278,"150,000",,
1279,"109,500",,
1280,"140,000",,
1281,"167,900",,
1282,"136,870",,
1283,"143,000",,
1284,"73,000",,
1285,"157,500",,
1286,"122,600",,
1287,"111,000",,
1288,"256,000",,
1289,"64,000",,
1290,"139,500",,
1291,"118,000",,
1292,"200,000",,
1293,"119,164",,
1294,"122,250",,
1295,"120,000",,
1296,"155,000",,
1297,"78,000",,
1298,"95,000",,
1299,"115,000",,
1300,"147,000",,
1301,"140,000",,
1302,"46,500",,
1303,"112,500",,
1304,"107,900",,
1305,"65,000",,
1306,"295,000",,
1307,"139,500",,
1308,"153,900",,
1309,"132,000",,
1310,"98,000",,
1311,"114,000",,
1312,"130,000",,
1313,"129,500",,
1314,"129,400",,
1315,"161,000",,
1316,"163,000",,
1317,"128,000",,
1318,"122,000",,
1319,"116,900",,
1320,"325,000",,
1321,"55,000",,
1322,"184,000",,
1323,"110,000",,
1324,"131,500",,
1325,"97,000",,
1326,"115,500",,
1327,"138,000",,
1328,"108,000",,
1329,"79,500",,
1330,"153,000",,
1331,"109,500",,
1332,"124,000",,
1333,"106,900",,
1334,"164,900",,
1335,"119,000",,
1336,"120,000",,
1337,"157,000",,
1338,"105,000",,
1339,"113,000",,
1340,"115,000",,
1341,"79,000",,
1342,"123,000",,
1343,"81,300",,
1344,"162,900",,
1345,"150,000",,
1346,"123,500",,
1347,"129,900",,
1348,"128,000",,
1349,"68,500",,
1350,"127,000",,
1351,"207,000",,
1352,"184,000",,
1353,"162,500",,
1354,"145,000",,
1355,"130,000",,
1356,"160,000",,
1357,"161,000",,
1358,"127,500",,
1359,"93,850",,
1360,"136,000",,
1361,"141,000",,
1362,"120,000",,
1363,"127,500",,
1364,"127,000",,
1365,"89,500",,
1366,"125,000",,
1367,"79,900",,
1368,"85,000",,
1369,"82,375",,
1370,"135,000",,
1371,"124,000",,
1372,"134,000",,
1373,"135,000",,
1374,"134,432",,
1375,"127,500",,
1376,"148,000",,
1377,"129,500",,
1378,"157,500",,
1379,"109,900",,
1380,"145,000",,
1381,"130,000",,
1382,"153,000",,
1383,"120,000",,
1384,"152,000",,
1385,"108,959",,
1386,"95,541",,
1387,"80,000",,
1388,"149,350",,
1389,"144,900",,
1390,"185,000",,
1391,"165,000",,
1392,"235,000",,
1393,"140,000",,
1394,"108,000",,
1395,"145,000",,
1396,"152,400",,
1397,"144,000",,
1398,"173,000",,
1399,"192,000",,
1400,"245,000",,
1401,"241,500",,
1402,"256,000",,
1403,"177,000",,
1404,"125,600",,
1405,"155,000",,
1406,"240,000",,
1407,"260,000",,
1408,"185,000",,
1409,"235,000",,
1410,"159,900",,
1411,"99,600",,
1412,"134,500",,
1413,"119,000",,
1414,"107,500",,
1415,"125,000",,
1416,"79,000",,
1417,"95,000",,
1418,"262,280",,
1419,"260,000",,
1420,"226,500",,
1421,"225,000",,
1422,"229,000",,
1423,"177,439",,
1424,"248,500",,
1425,"475,000",,
1426,"395,039",,
1427,"228,000",,
1428,"225,000",,
1429,"195,000",,
1430,"200,000",,
1431,"155,000",,
1432,"144,000",,
1433,"145,000",,
1434,"226,001",,
1435,"215,700",,
1436,"207,500",,
1437,"193,000",,
1438,"188,000",,
1439,"191,000",,
1440,"221,000",,
1441,"231,500",,
1442,"235,000",,
1443,"223,500",,
1444,"130,250",,
1445,"149,900",,
1446,"158,000",,
1447,"147,000",,
1448,"143,195",,
1449,"163,000",,
1450,"110,000",,
1451,"127,000",,
1452,"124,900",,
1453,"230,000",,
1454,"237,000",,
1455,"235,000",,
1456,"230,500",,
1457,"230,000",,
1458,"222,500",,
1459,"287,000",,
1460,"274,000",,
1461,"300,000",,
1462,"255,900",,
1463,"224,900",,
1464,"240,000",,
1465,"183,000",,
1466,"207,000",,
1467,"210,000",,
1468,"136,500",,
1469,"145,000",,
1470,"208,900",,
1471,"185,000",,
1472,"214,000",,
1473,"208,500",,
1474,"186,500",,
1475,"210,000",,
1476,"185,900",,
1477,"179,900",,
1478,"218,836",,
1479,"193,000",,
1480,"189,000",,
1481,"149,300",,
1482,"141,000",,
1483,"149,000",,
1484,"144,500",,
1485,"85,000",,
1486,"145,900",,
1487,"123,000",,
1488,"147,500",,
1489,"165,000",,
1490,"135,000",,
1491,"108,000",,
1492,"137,500",,
1493,"165,400",,
1494,"147,000",,
1495,"160,500",,
